First Name,Last Name,Constituency,Political Affiliation,Honorific Title,Province,Gender,Row,Column,PID,CID
Bruce,Stanton,Simcoe North,Conservative,,Ontario,M,01,04,35724,8781
Gabriel,Ste-Marie,Joliette,Bloc Québécois,,Quebec,M,00,33,88485,6
Wayne,Stetski,Kootenay—Columbia,NDP,,British Columbia,M,01,35,89281,3
Kennedy,Stewart,Burnaby South,NDP,,British Columbia,M,02,32,31701,3
Mark,Strahl,Chilliwack—Hope,Conservative,,British Columbia,M,04,26,71986,8781
Shannon,Stubbs,Lakeland,Conservative,,Alberta,F,00,21,89198,8781
David,Sweet,Flamborough—Glanbrook,Conservative,,Ontario,M,02,20,31715,8781
Marwan,Tabbara,Kitchener South—Hespeler,Liberal,,Ontario,M,01,03,88813,4
Geng,Tan,Don Valley North,Liberal,,Ontario,M,00,01,88726,4
Filomena,Tassi,Hamilton West—Ancaster—Dundas,Liberal,,Ontario,F,00,02,88784,4
Luc,Thériault,Montcalm,Bloc Québécois,,Quebec,M,00,38,88552,6
David,Tilson,Dufferin—Caledon,Conservative,,Ontario,M,03,05,25461,8781
Hunter,Tootoo,Nunavut,Independent,Hon.,Nunavut,M,00,06,1665,8
Brad,Trost,Saskatoon—University,Conservative,,Saskatchewan,M,00,30,25462,8781
Justin,Trudeau,Papineau,Liberal,Right Hon.,Quebec,M,07,20,58733,4
Karine,Trudel,Jonquière,NDP,,Quebec,F,02,47,88488,3
Dave,Van Kesteren,Chatham-Kent—Leamington,Conservative,,Ontario,M,02,14,31765,8781
Peter,Van Loan,York—Simcoe,Conservative,Hon.,Ontario,M,04,32,25465,8781
Dan,Vandal,Saint Boniface—Saint Vital,Liberal,,Manitoba,M,00,03,89045,4
Anita,Vandenbeld,Ottawa West—Nepean,Liberal,,Ontario,F,08,45,71738,4
Adam,Vaughan,Spadina—Fort York,Liberal,,Ontario,M,09,36,54434,4
Karen,Vecchio,Elgin—Middlesex—London,Conservative,,Ontario,F,03,21,88742,8781
Arnold,Viersen,Peace River—Westlock,Conservative,,Alberta,M,00,22,89211,8781
Arif,Virani,Parkdale—High Park,Liberal,,Ontario,M,08,33,88910,4
Cathay,Wagantall,Yorkton—Melville,Conservative,,Saskatchewan,F,00,23,89098,8781
Mark,Warawa,Langley—Aldergrove,Conservative,,British Columbia,M,03,08,25467,8781
Chris,Warkentin,Grande Prairie—Mackenzie,Conservative,,Alberta,M,03,18,35886,8781
Dianne L.,Watts,South Surrey—White Rock,Conservative,,British Columbia,F,04,23,89333,8781
Kevin,Waugh,Saskatoon—Grasswood,Conservative,,Saskatchewan,M,00,24,89084,8781
Len,Webber,Calgary Confederation,Conservative,,Alberta,M,00,26,89116,8781
Erin,Weir,Regina—Lewvan,NDP,,Saskatchewan,M,01,33,31796,3
Nick,Whalen,St. John's East,Liberal,,Newfoundland and Labrador,M,00,04,88296,4
Jonathan,Wilkinson,North Vancouver,Liberal,,British Columbia,M,08,35,89300,4
Jody,Wilson-Raybould,Vancouver Granville,Liberal,Hon.,British Columbia,F,07,26,89494,4
Alice,Wong,Richmond Centre,Conservative,Hon.,British Columbia,F,03,24,30812,8781
Borys,Wrzesnewskyj,Etobicoke Centre,Liberal,,Ontario,M,09,39,25468,4
Kate,Young,London West,Liberal,,Ontario,F,09,23,88832,4
David,Yurdiga,Fort McMurray—Cold Lake,Conservative,,Alberta,M,01,12,86260,8781
Salma,Zahid,Scarborough Centre,Liberal,,Ontario,F,00,05,88950,4
Bob,Zimmer,Prince George—Peace River—Northern Rockies,Conservative,,British Columbia,M,01,06,72035,8781
